num_gpus,arrival_rate,avg_queries_in_system,throughput,tbt,tfft,tbt95,tfft95,Mode,,chunk_size,throughput,p95_tbt,p95_ttft,Mode
1,0.05,0.059595528,0.046760469,0.035234505,0.127352989,0.035024323,0.40110475,Batch,,32,4.486865699,0.039607427,201.2172923,Chunked Prefill
1,0.55,0.388509028,0.519901638,0.037930436,0.143310288,0.048436781,0.409569467,Batch,,64,7.30181148,0.050100919,49.42259191,Chunked Prefill
1,1.05,0.593948181,0.975985001,0.04158854,0.159255928,0.065694726,0.431902081,Batch,,128,7.722935159,0.088470651,36.14639626,Chunked Prefill
1,1.55,1.104062055,1.4617353,0.044728124,0.170066527,0.080934985,0.439842476,Batch,,256,7.498816582,0.144374587,42.95808477,Chunked Prefill
1,2.05,1.69982239,1.936661562,0.048428166,0.188351353,0.093654773,0.475430798,Batch,,512,6.931545101,0.22876956,62.19193084,Chunked Prefill
1,2.55,2.100472561,2.359820835,0.053110118,0.205264851,0.113307828,0.557868073,Batch,,1024,6.931545101,0.22876956,62.19193084,Chunked Prefill
1,3.05,2.312498103,2.875572848,0.057930619,0.236995123,0.135593565,0.706154063,Batch,,2048,6.931545101,0.22876956,62.19193084,Chunked Prefill
1,3.55,3.84927757,3.344840276,0.063881026,0.26380862,0.155559585,0.754638381,Batch,,,,,,
1,4.05,4.862163386,3.765890676,0.069970243,0.302658908,0.173702099,0.866800737,Batch,,,,,,
1,4.55,5.450952912,4.307093718,0.076546572,0.344469529,0.181841008,0.954367444,Batch,,,,,,
1,5.05,6.597331785,4.736049807,0.085786174,0.441035213,0.200400118,1.317909582,Batch,,,,,,
1,5.55,9.210466222,5.230600289,0.095684088,0.575135453,0.209402587,1.660612352,Batch,,,,,,
1,6.05,10.92462685,5.652632473,0.104286342,0.725519551,0.216783832,2.146105451,Batch,,,,,,
1,6.55,13.21748699,6.096091351,0.112522032,0.961467773,0.230057584,2.757961306,Batch,,,,,,
1,7.05,37.38115719,6.67673332,0.133253962,5.034203932,0.235196837,12.18404548,Batch,,,,,,
1,7.55,37.47693624,6.999618335,0.134440722,7.814541006,0.235786189,17.15189532,Batch,,,,,,
1,8.05,78.77579334,6.926871154,0.133961991,61.45288992,0.233704047,120.5865934,Batch,,,,,,
1,8.55,122.4068778,6.837699416,0.137188481,98.05413212,0.235990499,174.7160675,Batch,,,,,,
1,9.05,125.0261284,6.876831194,0.135848662,131.1287406,0.233431385,243.9988895,Batch,,,,,,
1,9.55,116.6912817,6.989911776,0.133349276,160.7326424,0.232498206,291.7411851,Batch,,,,,,
1,10.05,121.0692008,6.723868264,0.1395597,185.1598213,0.236588352,358.5145743,Batch,,,,,,
1,10.55,197.1442496,6.749637217,0.137551966,211.3846095,0.236217449,411.2633105,Batch,,,,,,
1,11.05,243.3668752,6.839483378,0.135938143,233.6988272,0.235122836,444.35812,Batch,,,,,,
1,11.55,260.2527251,6.931925935,0.135738769,240.6283557,0.236012582,459.1023026,Batch,,,,,,
1,12.05,245.3862526,6.86332547,0.138016645,278.4609115,0.235196837,532.9669799,Batch,,,,,,
1,12.55,252.6170343,6.887342301,0.135791741,258.9839606,0.235226145,516.0778241,Batch,,,,,,
1,13.05,307.2626042,6.797388364,0.137104081,301.4982276,0.234174125,576.6158479,Batch,,,,,,
1,13.55,321.2152012,6.768177555,0.138476568,319.3166793,0.235028223,606.1022784,Batch,,,,,,
1,14.05,329.5955127,6.703630258,0.138700084,336.2037276,0.235480581,643.593892,Batch,,,,,,
1,14.55,384.1776717,6.880482955,0.136660994,333.6801736,0.235196837,634.6679487,Batch,,,,,,
1,0.05,0.008566597,0.050785061,0.03502,0.142800784,0.03502,0.40110475,FCFS,,,,,,
1,0.85,0.867994615,0.866939367,0.03502,0.565836263,0.03502,2.014327341,FCFS,,,,,,
1,1.65,12.00408876,1.633391569,0.03502,8.095443121,0.03502,21.99997135,FCFS,,,,,,
1,2.45,61.57137205,1.704180395,0.03502,874.9355135,0.03502,1657.494317,FCFS,,,,,,
